temperature,humidity,visibility,wind_speed,hour,weather_condition,risk_level
18.66,59.4,7.73,12.22,20,Cloudy,Low
2.52,66.1,11.91,17.28,21,Clear,Low
24.01,42.7,7.7,12.15,6,Cloudy,Low
26.29,40.0,10.06,10.36,3,Cloudy,Medium
-8.41,68.3,8.62,12.25,9,Cloudy,Medium
-0.63,51.4,9.13,9.42,15,Clear,Low
16.53,38.9,9.28,25.94,2,Cloudy,Medium
11.21,82.4,7.66,14.43,15,Thunderstorm,Medium
14.8,53.6,5.31,7.62,7,Cloudy,Low
4.76,85.7,11.3,4.27,10,Heavy Rain,High
25.55,65.5,13.78,10.23,9,Clear,Low
24.33,70.3,13.98,6.81,17,Clear,Low
15.79,61.2,7.34,6.47,7,Thunderstorm,High
28.53,17.2,6.8,20.48,11,Rain,Low
20.61,44.5,7.34,12.72,15,Rain,Low
4.69,62.7,8.47,3.14,20,Cloudy,Low
19.43,71.6,8.84,17.57,10,Heavy Rain,Medium
3.49,32.8,6.01,2.24,3,Fog,Medium
25.54,64.0,4.56,18.24,13,Clear,Medium
14.4,44.8,9.15,7.72,0,Clear,Medium
12.78,69.2,0.1,12.78,15,Snow,High
6.83,64.7,8.7,11.78,9,Clear,Medium
29.67,78.4,6.17,10.67,15,Cloudy,Low
13.15,84.2,11.34,13.89,3,Clear,Low
9.86,73.3,12.14,12.74,11,Cloudy,Low
10.77,80.5,12.21,28.83,4,Cloudy,Medium
21.39,58.7,7.96,14.02,13,Clear,Low
19.39,100.0,5.59,14.22,1,Clear,Low
19.95,43.1,6.56,5.61,12,Cloudy,Low
20.17,55.5,9.86,15.43,10,Cloudy,Low
40.7,81.2,4.06,2.79,3,Rain,High
10.12,78.5,13.18,22.35,17,Rain,Medium
8.85,73.8,8.01,1.36,20,Clear,Low
5.23,77.2,10.5,4.41,13,Cloudy,Low
22.39,27.5,3.66,2.66,12,Snow,Medium
28.55,93.6,6.22,15.78,8,Rain,High
13.63,61.3,3.28,8.19,6,Snow,Medium
4.92,87.4,12.06,18.17,0,Thunderstorm,High
5.11,28.4,8.52,3.22,11,Cloudy,Low
22.81,69.6,10.71,16.78,12,Clear,Low
23.92,54.9,9.19,17.22,0,Clear,Medium
21.52,75.3,10.41,13.91,7,Clear,Low
7.01,70.7,7.99,12.28,13,Rain,Low
17.79,71.6,8.39,13.23,5,Clear,Low
16.4,45.9,8.72,3.8,14,Thunderstorm,Medium
17.62,64.0,10.22,2.32,10,Rain,Low
25.46,61.8,10.3,16.89,22,Thunderstorm,Medium
17.68,73.9,15.0,8.68,4,Cloudy,Medium
23.15,82.8,14.04,16.08,0,Clear,Low
15.81,67.7,3.66,25.96,7,Clear,Medium
18.47,42.0,8.57,7.89,19,Heavy Rain,High
22.58,66.9,7.78,6.6,22,Clear,Low
-2.49,100.0,12.84,9.08,15,Snow,High
11.16,94.6,8.05,12.35,14,Clear,Low
9.36,11.5,10.39,17.53,17,Rain,Medium
7.33,66.1,1.99,11.74,23,Cloudy,High
11.7,81.8,4.46,30.71,22,Rain,Medium
32.94,61.7,15.0,15.79,15,Heavy Rain,High
4.61,56.7,9.15,19.03,8,Clear,Low
26.62,60.2,6.0,11.67,2,Fog,High
-5.19,74.9,9.73,21.11,3,Rain,High
10.98,44.3,5.84,10.15,15,Cloudy,Low
16.95,86.4,8.15,6.2,1,Thunderstorm,High
22.03,64.0,4.64,20.15,20,Snow,High
23.53,48.2,6.63,11.48,11,Clear,Low
24.52,85.2,7.75,14.21,21,Clear,Low
10.82,37.2,12.36,20.84,20,Fog,Medium
9.45,55.0,10.39,13.25,13,Rain,Low
25.3,54.7,10.92,10.66,10,Cloudy,Low
12.7,100.0,8.92,7.18,2,Clear,Medium
-0.31,52.7,11.47,21.56,23,Cloudy,Medium
1.4,26.2,6.38,8.92,15,Clear,Low
3.97,54.5,6.8,11.54,9,Clear,Low
20.97,73.2,10.22,14.58,3,Cloudy,Medium
16.71,79.1,8.16,14.55,20,Clear,Low
23.29,100.0,8.96,21.12,1,Rain,High
9.87,90.3,8.51,11.37,16,Rain,Medium
16.9,68.4,12.76,24.39,5,Rain,Low
22.51,49.0,12.92,9.76,15,Clear,Low
11.29,94.2,7.12,15.34,2,Clear,Low
20.48,58.4,3.72,10.35,19,Heavy Rain,High
7.06,53.2,6.87,30.84,10,Cloudy,Low
10.64,57.5,6.31,8.84,10,Clear,Low
10.42,42.5,11.5,9.66,22,Rain,Low
0.65,56.6,11.76,13.03,4,Cloudy,Medium
20.84,60.8,5.91,9.6,15,Clear,Low
9.37,78.2,6.74,14.83,13,Heavy Rain,Medium
15.15,58.0,4.56,23.06,16,Cloudy,Medium
20.77,42.2,9.4,13.33,15,Cloudy,Low
20.36,36.1,8.87,13.66,19,Snow,Medium
22.98,68.8,11.37,9.94,8,Clear,Low
13.82,66.3,10.49,7.45,5,Cloudy,Low
9.92,55.0,10.83,12.87,16,Clear,Medium
14.04,56.6,4.37,12.07,13,Thunderstorm,Medium
-5.25,72.0,7.12,22.56,21,Clear,Low
-2.37,90.0,11.85,3.37,17,Fog,High
-0.87,51.0,7.38,25.09,5,Cloudy,Medium
3.03,66.6,4.12,10.68,7,Snow,High
19.8,82.2,11.42,13.34,16,Heavy Rain,High
4.13,51.0,7.27,2.42,9,Clear,Low
